text,label
"Jadi mengenang....dulu pertama kali naik pesawat karena dapat beasiswa kuliah di Inggris (Newcastle), deg-degan secara ini naik pesawat pertama kali plus ada transitnya pulak di Dubai...datang ke Soetta dari Salatiga naik kereta api turun di Gambir, deg-degannya minta ampun..naik damri ke Soetta turun di terminal 2D...cek in paspor masih kosong kecuali bisa student UK yang nempel...ditanyain tiket pulang nya saya gelagapan hahha lupa kalo saya mau studi yang gak perlu tiket balik...habis cek in jalan ke imigrasi..yang antriannya minta ampun...ditanya2 ama petugas imigrasinya gak percaya kalo saya mahasiswa beasiswa, karena pakaian saya yang lusuh karena perjalanan dari daerah ke ibukota... Habis imigrasi lumayan lega perasaannya...sambil tunggu boarding saat itu Emirates jadwal pukul 0015 cmiiw..saya sakit perut Mulu karena saking tegangnya...hahah naik pesawat untungnya di aisle karena saya tetap tegang dan pengen ke WC Mulu...paling lucu pas mpe Dubai kirain transit itu gak turun pesawat wkwkkw saya nunggu dipesawat terus mpe &quot;diusir&quot; pramugarinya karena pesawat mau dibersihkan dan saya disuruh ke transfer counter untuk melaporkan diri kalo saya mau transfer ke pesawat yang ke Newcastle...wkwkw mpe Newcastle bingung lagi karena gak tau orang yang jemput saya tunggu dimana...wkwkw hadeuh pengalaman masa lalu sungguh indah sekali...sekarang kerja di Singapore tiap bulan pulang ke Jateng naik silk air/airasia yang direct ke Semarang, Alhamdulillah...",2
Bang jika hanya nunjukin ktp bisa gak? Di konter..  tanpa harus nunjukin bukti tiket pemesanan,1
Makasih dek ya untuk mengalaminya untu naik pesawat,2
"Biasanya gue naik pesawat ngekor. Ortu kemana gue kesono, sekolah kemana gue nikut aja gak ngerti 🤣 skr gue perlu berangkat sendiri sumpah bingung 😖",0
Pertama kali naik pesawat dari pnk menuju Jakarta tegang banget...insya Allah akhir tahun ini saya mw k Jogja pandai kangen dgn aroma udara pesawat🤭,2
seru llo naik peswat it,2
Bang serius nanya. Kalo koper lebih dari 7 kg tuh kan harus dimasukin bagasi dan yg kurang dari 7 kg boleh dibawa ke kabin ya. Trus pas di pemeriksaan koper yg lebih dari 7 kg itu kopernya dibawa lagi kita yang urus apa ditinggal aja dan petugasnya yg urus?,1
Selamat siang bang trma kasih sudah berbagi pengalaman yang menarik,2
Cm aq mungkin yg blm prnh sm skli Naik pesawat terbang. ✈️,0
"Terimakasih,, sangat membantu, semoga bisa naik pesawat..",2
"Mau nanya,  abg tau klw itu pesawat abg nya dari mana? Terus pas turun dari pesawat dan jln kaki itu arah nya kmna ya?",1
"sangatt krenn bangg coba klw lengkap dngan tutorial transit pesawat pasti lebih kreeenn👍🏽👍🏽👍🏽👍🏽👍🏽<br>sangat mmbantu dlm kesulitan org baru,,semoga sukses abg",2
"tutorialnya bgus bang cumn agak pusing klw org baru krna prosesnnya banyak bnget klw,,<br>apa lagi transit pesawat pasti bingun benaran😊😊",1
"Sy blm pernah naik pesawat enak gak sih dibandingkan naik kereta,mobil dan kapal api",1
"Terimakasih kak tutorialnya kakk, semoga penerbangan pertamaku besok dilancarkan🙏🏻🙏🏻",2
Baru jakarta bandung haaaaa,1
"saya belum pernah naik pesawat karena takut lebih ke phobia ketinggian, kira2 kalo pas mau naik di pingsanin dulu bisa gak ya, atau minum obat tidur gitu gapapa d gotong juga.",0
Kan boarding tiket itu nama pswt nya ada banyak bang seperti sriwijaya ada 3 tempat..itu sama aja bang ya?,1
"makasii kak, videonya sangat membantu sekali 👍🏻👍🏻",2
Harga tiket nya brp ngab,1
Bang kalo koper nya ilang dibagasi gimana?,0
Bang bikin versi yg di bandara soekarno hattanya dong🙏🙏,2
Tanya bang.. 1 orang dpt jatah bagasi engga bang apa cma dpt cabin gratis,1
Untuk kode booking PP itu sm ya kodenya ? JD pas plng printny dgn kode booking yg sm kan yah ?,1
"gilaaa ini bener&quot; lengkap bgt, jelas ga menye&quot; penjelasannya kerennnn 👍🏻",2
Kak mau tanya apakah boleh 1 orang Bawak koper ukuran 20 inci dan backpack juga ke cabin? Terimakasih,1
Bang mau tanya kalo usia di bawah 18 tahun dan belum punya KTP itu data yang harus di lapirkan apa bang,1
Untuk sekrang pake rapid covid ga ka,1
"Bagus penjelasanya, lengkap, saya sreg sama penjelasan nya mas.., yg lain saya nemu ga lengkap malah bikin bingung",2
"Jadi tauuuuuuuu, lanjut bang",2
