,text,label,clean_text
0,"Jadi mengenang....dulu pertama kali naik pesawat karena dapat beasiswa kuliah di Inggris (Newcastle), deg-degan secara ini naik pesawat pertama kali plus ada transitnya pulak di Dubai...datang ke Soetta dari Salatiga naik kereta api turun di Gambir, deg-degannya minta ampun..naik damri ke Soetta turun di terminal 2D...cek in paspor masih kosong kecuali bisa student UK yang nempel...ditanyain tiket pulang nya saya gelagapan hahha lupa kalo saya mau studi yang gak perlu tiket balik...habis cek in jalan ke imigrasi..yang antriannya minta ampun...ditanya2 ama petugas imigrasinya gak percaya kalo saya mahasiswa beasiswa, karena pakaian saya yang lusuh karena perjalanan dari daerah ke ibukota... Habis imigrasi lumayan lega perasaannya...sambil tunggu boarding saat itu Emirates jadwal pukul 0015 cmiiw..saya sakit perut Mulu karena saking tegangnya...hahah naik pesawat untungnya di aisle karena saya tetap tegang dan pengen ke WC Mulu...paling lucu pas mpe Dubai kirain transit itu gak turun pesawat wkwkkw saya nunggu dipesawat terus mpe &quot;diusir&quot; pramugarinya karena pesawat mau dibersihkan dan saya disuruh ke transfer counter untuk melaporkan diri kalo saya mau transfer ke pesawat yang ke Newcastle...wkwkw mpe Newcastle bingung lagi karena gak tau orang yang jemput saya tunggu dimana...wkwkw hadeuh pengalaman masa lalu sungguh indah sekali...sekarang kerja di Singapore tiap bulan pulang ke Jateng naik silk air/airasia yang direct ke Semarang, Alhamdulillah...",2,mengenangdulu kali pesawat beasiswa kuliah inggris newcastle deg-degan pesawat kali plus transit pulak dubaidatang soetta salatiga kereta api turun gambir degdegannya ampunnaik damri soetta turun terminal dcek in paspor kosong kecuali student uk nempelditanyain tiket pulang nya gelagap hahha lupa studi tiket balikhabis cek in jalan imigrasiyang antri ampunditanya tugas imigrasi percaya mahasiswa beasiswa pakai lusuh jalan daerah ibukota habis imigrasi lumayan lega perasaannyasambil tunggu boarding emirates jadwal cmiiwsaya sakit perut mulu saking tegangnyahahah pesawat untung aisle tegang wc mulupaling lucu pas dubai kirain transit turun pesawat wkwkkw nunggu pesawat quotdiusirquot pramugari pesawat bersih suruh transfer alat hitung lapor transfer pesawat newcastlewkwkw newcastle bingung tau orang jemput tunggu dimanawkwkw hadeuh alam sungguh indah sekalisekarang kerja singapore pulang jawa silk airairasia direct semarang alhamdulillah
1,Bang jika hanya nunjukin ktp bisa gak? Di konter..  tanpa harus nunjukin bukti tiket pemesanan,1,bang nunjukin ktp konter nunjukin bukti tiket mesan
2,Makasih dek ya untuk mengalaminya untu naik pesawat,2,terimakasih dek ya alam untu pesawat
3,"Biasanya gue naik pesawat ngekor. Ortu kemana gue kesono, sekolah kemana gue nikut aja gak ngerti 🤣 skr gue perlu berangkat sendiri sumpah bingung 😖",0,pesawat ngekor ortu mana kesana sekolah mana nikut ngerti skr berangkat sumpah bingung
4,Pertama kali naik pesawat dari pnk menuju Jakarta tegang banget...insya Allah akhir tahun ini saya mw k Jogja pandai kangen dgn aroma udara pesawat🤭,2,kali pesawat pnk jakarta tegang bangetinsya allah k jogja pandai kangen aroma udara pesawat
5,seru llo naik peswat it,2,seru llo peswat it
6,Bang serius nanya. Kalo koper lebih dari 7 kg tuh kan harus dimasukin bagasi dan yg kurang dari 7 kg boleh dibawa ke kabin ya. Trus pas di pemeriksaan koper yg lebih dari 7 kg itu kopernya dibawa lagi kita yang urus apa ditinggal aja dan petugasnya yg urus?,1,bang serius koper kg tuh dimasukin bagasi kg bawa kabin ya pas periksa koper kg koper bawa urus tinggal tugas urus
7,Selamat siang bang trma kasih sudah berbagi pengalaman yang menarik,2,selamat siang bang trma kasih bagi alam tarik
8,Cm aq mungkin yg blm prnh sm skli Naik pesawat terbang. ✈️,0,cm skli pesawat terbang
9,"Terimakasih,, sangat membantu, semoga bisa naik pesawat..",2,terimakasih bantu moga pesawat
10,"Mau nanya,  abg tau klw itu pesawat abg nya dari mana? Terus pas turun dari pesawat dan jln kaki itu arah nya kmna ya?",1,abg tau pesawat abg nya pas turun pesawat jalan kaki arah nya mana ya
11,"sangatt krenn bangg coba klw lengkap dngan tutorial transit pesawat pasti lebih kreeenn👍🏽👍🏽👍🏽👍🏽👍🏽<br>sangat mmbantu dlm kesulitan org baru,,semoga sukses abg",2,sangatt krenn bangg coba lengkap tutorial transit pesawat kreeennbrsangat mmbantu sulit orang barusemoga sukses abg
12,"tutorialnya bgus bang cumn agak pusing klw org baru krna prosesnnya banyak bnget klw,,<br>apa lagi transit pesawat pasti bingun benaran😊😊",1,tutorial bgus bang pusing orang prosesnnya bnget klwbrapa transit pesawat bingun benar
13,"Sy blm pernah naik pesawat enak gak sih dibandingkan naik kereta,mobil dan kapal api",1,pesawat enak sih banding keretamobil kapal api
14,"Terimakasih kak tutorialnya kakk, semoga penerbangan pertamaku besok dilancarkan🙏🏻🙏🏻",2,terimakasih kak tutorial kakk moga terbang pertama besok lancar
15,Baru jakarta bandung haaaaa,1,jakarta bandung haaaaa
16,"saya belum pernah naik pesawat karena takut lebih ke phobia ketinggian, kira2 kalo pas mau naik di pingsanin dulu bisa gak ya, atau minum obat tidur gitu gapapa d gotong juga.",0,pesawat takut phobia tinggi pas pingsanin ya minum obat tidur apa d gotong
17,Kan boarding tiket itu nama pswt nya ada banyak bang seperti sriwijaya ada 3 tempat..itu sama aja bang ya?,1,boarding tiket nama pesawat nya bang sriwijaya tempatitu bang ya
18,"makasii kak, videonya sangat membantu sekali 👍🏻👍🏻",2,makasii kak video bantu
19,Harga tiket nya brp ngab,1,harga tiket nya ngab
20,Bang kalo koper nya ilang dibagasi gimana?,0,bang koper nya hilang bagasi
21,Bang bikin versi yg di bandara soekarno hattanya dong🙏🙏,2,bang bikin versi bandara soekarno hatta
22,Tanya bang.. 1 orang dpt jatah bagasi engga bang apa cma dpt cabin gratis,1,bang orang jatah bagasi bang cma cabin gratis
23,Untuk kode booking PP itu sm ya kodenya ? JD pas plng printny dgn kode booking yg sm kan yah ?,1,kode booking pp ya kode pas pulang printny kode booking yah
24,"gilaaa ini bener&quot; lengkap bgt, jelas ga menye&quot; penjelasannya kerennnn 👍🏻",2,gilaaa benerquot lengkap banget menyequot jelas kerennnn
25,Kak mau tanya apakah boleh 1 orang Bawak koper ukuran 20 inci dan backpack juga ke cabin? Terimakasih,1,kak orang bawak koper ukur inci backpack cabin terimakasih
26,Bang mau tanya kalo usia di bawah 18 tahun dan belum punya KTP itu data yang harus di lapirkan apa bang,1,bang usia ktp data lapir bang
27,Untuk sekrang pake rapid covid ga ka,1,sekrang pakai rapid covid ka
28,"Bagus penjelasanya, lengkap, saya sreg sama penjelasan nya mas.., yg lain saya nemu ga lengkap malah bikin bingung",2,bagus jasa lengkap sreg jelas nya mas temu lengkap bikin bingung
29,"Jadi tauuuuuuuu, lanjut bang",2,tauuuuuuuu bang
30,"Keren banget videonya bang,,so simple tapi langsung mengerti,, penjelasannya gk bertele tele tapi point ny dapet...sangat berguna bagiku yg mau terbang pertama kali dala hidupku",2,keren banget video bangso simpel langsung erti jelas tele tele point ny dapetsangat guna bagi terbang kali dala hidup
31,Mksih y bang membatu sekli vidio ya  sagt bermempaat seperti saya belum pernh naik pesawat 😅😅mkasih y bang,2,terimakasih y bang batu sekli video ya sagt bermempaat pernh pesawat terimakasih y bang
32,"mantap abang, makasih banyakk",2,mantap abang terimakasih banyakk
33,"Haha bismillah bulan 8 yah otw ke Jakarta, terimakasih atas tutorial nya deg deg kan ygy Pertama kali naik pesawat 😭",2,haha bismillah yah jalan jakarta terimakasih tutorial nya deg deg ygy kali pesawat
34,"Saya blm pernah naik pesawat,, tapi katanya harus matikan hp klo udh terbang ya? Tapi  yg foto atau video gtu emg boleh? Atau modein pesawat aja? Klo udh mode pesawat aman buat foto&quot; dan video bang?",0,pesawat mati hp terbang ya foto video emang modein pesawat mode pesawat aman fotoquot video bang
35,JIJIK GUE LIAT Kuda NIL SATU NI,0,jijik lihat kuda nil ni
36,No berapa sih biar bisa mideo sayap peswat yg paling pas di citilink?belinya bisa manual pas datanhkan di Bandara,1,nomor sih biar mideo sayap peswat pas citilinkbelinya manual pas datanhkan bandara
37,Kalo bawa obat2 tan.  Sama roko. Prvum.  Pelembab. Muka boleh ga,1,bawa obat tan roko prvum pelembab muka
38,"Wah makasih bgt bang tutorial lengkap nya, berasa pengalaman sendiri.",2,terimakasih banget bang tutorial lengkap nya asa alam
39,Senin ini saya mau berangkat dari Banjarmasin menuju Jakarta....baru pertama kali ne rasa takut naik pesawat doakan ya saya semoga selamat sampai tujuan.,0,senin berangkat banjarmasin jakartabaru kali ne takut pesawat doa ya moga selamat tuju
40,Kak kalau beli tiket online tpi gak ada nama belakang nya itu gimana ya,1,kak beli tiket online nama nya ya
41,Kayak ada pesawat tempur segala itu bang..?,0,pesawat tempur bang
42,Maaf kalau di dalam pesawat apa boleh hidup kan HP/maenan HP bang..??? 🙏,1,maaf pesawat hidup hpmaenan hp bang
43,Bang untuk ukuran koper bagasi ada standar nya ngga pesawat ATR,1,bang ukur koper bagasi standar nya pesawat atr
44,"Sangat membantu kak, karena rencana lulus kuliah mau merantau ke Kalimantan dan masih belum punya pengalaman naik pesawat jadi deg² an nya dari pas ujian skripsi udah kerasa<br>Makasih vlog edukatif nya 🙏",2,bantu kak rencana lulus kuliah rantau kalimantan alam pesawat deg an nya pas uji skripsi kerasabrmakasih vlog edukatif nya
45,"Kak mau tanya ngrekam gt mesti ijin  gk sih? Trus emang gpp ya ngrekam dlm pesawat, takutnya ganggu sinyal pesawatnya gt?",1,kak ngrekam mesti izin sih emang tidak-apa-apa ya ngrekam pesawat takut ganggu sinyal pesawat
46,Mau tanya apakah boleh klo main hp di pesawat . Maap saya gk tau apa² tentang naik pesawat 🙂🙏,1,main hp pesawat maap tau apa pesawat
47,sekarang masih ada gak bang yg langsung dr Jkt ke Bdg ?,1,bang langsung jakarta bandung
48,Halimkuuu 💙,1,halimkuuu
